variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,strong_reference_regression_rate,strong_easy_mean_dPSNR,strong_easy_p05_dPSNR,fold,gate_kind,threshold,threshold_low,gamma,tau,fold_tail_pass
V221_risk_zero_t0p30,fold2,480,2.0659996310869855,1.3636722564697266,-0.05452606201171875,0.0,-0.07228787740071614,4.425168371200561,0.3376980145772298,0.625,4,0.008333333333333333,120,1,0.008333333333333333,0.3376980145772298,0.0,2,predicted_risk_zero,0.3,,,,1
V221_risk_zero_t0p30,fold3,480,1.9471765160560608,1.2166213989257812,-0.08990257263183593,0.0,-0.08352057139078777,3.9740636984507245,0.34854377110799156,0.6208333333333333,4,0.008333333333333333,120,1,0.008333333333333333,0.34854377110799156,0.0,3,predicted_risk_zero,0.3,,,,1
V221_risk_zero_t0p30,fold4,480,2.0052036881446837,1.416482925415039,-0.023721923828124998,0.0,-0.109893004099528,4.215773344039917,0.5224639256795247,0.625,3,0.00625,120,2,0.016666666666666666,0.5224639256795247,0.0,4,predicted_risk_zero,0.3,,,,1
V221_risk_zero_t0p40,fold0,480,1.9623591979344686,1.2732696533203125,-0.06084564208984375,0.0,-0.13722356160481772,4.220834064483642,0.4729522387186686,0.6708333333333333,4,0.008333333333333333,120,2,0.016666666666666666,0.4729522387186686,0.0,0,predicted_risk_zero,0.4,,,,1
V221_risk_zero_t0p40,fold1,480,2.1042375524838763,1.4953842163085938,-0.12996639251708986,0.0,-0.07940403620402019,4.163343286514282,0.5707169850667317,0.6875,3,0.00625,120,3,0.025,0.5707169850667317,-8.296966552734353e-05,1,predicted_risk_zero,0.4,,,,1
V221_risk_zero_t0p40,fold2,480,2.1154794971148174,1.4425239562988281,-0.05452606201171875,0.0,-0.07392628987630208,4.452403465906779,0.39880145390828453,0.6729166666666667,4,0.008333333333333333,120,1,0.008333333333333333,0.39880145390828453,0.0,2,predicted_risk_zero,0.4,,,,1
V221_risk_zero_t0p40,fold3,480,1.981483026345571,1.301370620727539,-0.1285965347290039,0.0,-0.09064435958862305,3.9900064945220945,0.39163328806559244,0.6583333333333333,4,0.008333333333333333,120,2,0.016666666666666666,0.39163328806559244,0.0,3,predicted_risk_zero,0.4,,,,1
V221_risk_zero_t0p40,fold4,480,2.0724379340807597,1.549260139465332,-0.38187351226806643,0.0,-0.2340091069539388,4.248297675450643,0.6252678235371908,0.6875,6,0.0125,120,3,0.025,0.6252678235371908,0.0,4,predicted_risk_zero,0.4,,,,1
V221_risk_zero_t0p50,fold0,480,2.0194926222165424,1.3657855987548828,-0.33621807098388673,0.0,-0.19172747929890951,4.289428440729777,0.5400102933247884,0.7166666666666667,6,0.0125,120,4,0.03333333333333333,0.5400102933247884,0.0,0,predicted_risk_zero,0.5,,,,1
V221_risk_zero_t0p50,fold1,480,2.144156018892924,1.5316734313964844,-0.16199172973632814,0.0,-0.10230652491251628,4.196250788370768,0.6456962903340657,0.73125,4,0.008333333333333333,120,6,0.05,0.6456962903340657,-0.03348217010498046,1,predicted_risk_zero,0.5,,,,1
V221_risk_zero_t0p50,fold2,480,2.1486612995465597,1.4677658081054688,-0.05452606201171875,0.0,-0.07392628987630208,4.452403465906779,0.45849221547444663,0.7104166666666667,4,0.008333333333333333,120,1,0.008333333333333333,0.45849221547444663,0.0,2,predicted_risk_zero,0.5,,,,1
V221_risk_zero_t0p50,fold3,480,2.029329415162404,1.3283863067626953,-0.274581184387207,0.0,-0.14243173599243164,3.9998263200124105,0.4703240712483724,0.7,7,0.014583333333333334,120,3,0.025,0.4703240712483724,0.0,3,predicted_risk_zero,0.5,,,,1
V221_risk_zero_t0p50,fold4,480,2.0980290452639263,1.5708036422729492,-0.38187351226806643,0.0,-0.2570940653483073,4.248297675450643,0.6537641207377116,0.7270833333333333,8,0.016666666666666666,120,5,0.041666666666666664,0.6537641207377116,-0.00039558410644531094,4,predicted_risk_zero,0.5,,,,1
V221_risk_zero_t0p60,fold0,480,2.0574726780255634,1.4326515197753906,-0.44929176330566406,0.0,-0.2264084815979004,4.297439114252726,0.570679505666097,0.7645833333333333,8,0.016666666666666666,120,4,0.03333333333333333,0.570679505666097,0.0,0,predicted_risk_zero,0.6,,,,1
V221_risk_zero_t0p60,fold1,480,2.1586178024609883,1.5316734313964844,-0.4599550628662109,0.0,-0.2715490659077962,4.209264453252157,0.6566452344258626,0.7666666666666667,10,0.020833333333333332,120,9,0.075,0.6566452344258626,-0.12148704528808593,1,predicted_risk_zero,0.6,,,,1
