variant,stage_set,action_family,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,target_bucket
alignment_gate,S5_bottleneck_mid,medium,36,0.06644037034776476,-1.1614227294921875,-1.3598995208740234,0.3888888888888889,0.2777777777777778,easy_top25
alignment_gate,S5_bottleneck_mid,medium,39,0.5277912922394581,-0.5045225143432617,-0.7515897750854492,0.23076923076923078,0.07692307692307693,hard_bottom25
alignment_gate,S5_bottleneck_mid,medium,65,0.514242436335637,-0.540003204345703,-0.9180660247802734,0.24615384615384617,0.18461538461538463,mid_50
alignment_gate,S5_bottleneck_mid,mild,40,0.10266227722167968,-0.5236276626586914,-0.6275520324707031,0.25,0.125,easy_top25
alignment_gate,S5_bottleneck_mid,mild,40,0.2895700931549072,-0.18198919296264648,-0.3059368133544922,0.075,0.05,hard_bottom25
alignment_gate,S5_bottleneck_mid,mild,80,0.27459087371826174,-0.3306079864501953,-0.6261663436889648,0.2125,0.1,mid_50
alignment_gate,S5_bottleneck_mid,strong,36,-0.18663883209228516,-2.2766942977905273,-2.6604576110839844,0.5277777777777778,0.5,easy_top25
alignment_gate,S5_bottleneck_mid,strong,39,0.7588568956424029,-1.2713653564453125,-1.7142114639282227,0.23076923076923078,0.23076923076923078,hard_bottom25
alignment_gate,S5_bottleneck_mid,strong,65,0.7107340299166166,-1.1328544616699219,-1.7914810180664062,0.3230769230769231,0.2923076923076923,mid_50
alignment_gate,S6_early_mid_final,medium,27,-0.04302187319155092,-1.7809040069580078,-2.2260665893554688,0.5185185185185185,0.37037037037037035,easy_top25
alignment_gate,S6_early_mid_final,medium,34,0.43759458205279184,-0.4998629570007324,-0.6731271743774414,0.29411764705882354,0.20588235294117646,hard_bottom25
alignment_gate,S6_early_mid_final,medium,60,0.5523714065551758,-0.6274389266967774,-1.0267537434895833,0.26666666666666666,0.21666666666666667,mid_50
alignment_gate,S6_early_mid_final,mild,40,0.06446819305419922,-0.7706571578979492,-1.0571041107177734,0.275,0.225,easy_top25
alignment_gate,S6_early_mid_final,mild,40,0.2762734413146973,-0.20273904800415038,-0.41211795806884766,0.225,0.05,hard_bottom25
alignment_gate,S6_early_mid_final,mild,80,0.30120120048522947,-0.5233551025390625,-0.8273029327392578,0.25,0.15,mid_50
alignment_gate,S6_early_mid_final,strong,27,-0.5781654075339988,-3.514271545410156,-4.13438606262207,0.5555555555555556,0.5555555555555556,easy_top25
alignment_gate,S6_early_mid_final,strong,34,0.4847523745368509,-1.3127546310424805,-1.6512365341186523,0.35294117647058826,0.35294117647058826,hard_bottom25
alignment_gate,S6_early_mid_final,strong,60,0.5593196233113606,-1.7242212295532227,-2.2227198282877603,0.35,0.35,mid_50
bucket_strength_grid,S4_final_decoder,medium,80,0.2995366096496582,-0.4988541603088379,-0.9182004928588867,0.2625,0.15,hard_bottom25
bucket_strength_grid,S4_final_decoder,medium,160,0.3292088031768799,-0.8653100967407227,-1.3054132461547852,0.3,0.23125,mid_50
bucket_strength_grid,S4_final_decoder,mild,120,0.023125425974527995,-0.5192758560180664,-0.7947572072347006,0.24166666666666667,0.11666666666666667,easy_top25
bucket_strength_grid,S4_final_decoder,mild,40,0.2013167381286621,-0.2515460968017578,-0.4350271224975586,0.225,0.075,hard_bottom25
bucket_strength_grid,S4_final_decoder,mild,160,0.187172269821167,-0.3869527816772461,-0.5863213539123535,0.225,0.11875,mid_50
bucket_strength_grid,S4_final_decoder,strong,120,0.34392786026000977,-1.2900776863098145,-1.9336471557617188,0.30833333333333335,0.2833333333333333,hard_bottom25
bucket_strength_grid,S5_bottleneck_mid,medium,80,0.4762598752975464,-0.4450822830200195,-0.6442513465881348,0.2,0.075,hard_bottom25
